epoch,loss,lr,mean_io_u,precision,recall,val_loss,val_mean_io_u,val_precision,val_recall
0,0.40030327439308167,1e-04,0.3722447156906128,0.6695898771286011,0.5888247489929199,0.7559183239936829,0.37214332818984985,0.0,0.0
1,0.29675188660621643,1e-04,0.3722447454929352,0.7698929905891418,0.7193735837936401,0.7752966284751892,0.37214338779449463,0.8809768557548523,0.020986022427678108
2,0.26569363474845886,1e-04,0.3722447156906128,0.7952011823654175,0.7581768035888672,0.33978068828582764,0.37214338779449463,0.7373214960098267,0.7308441400527954
3,0.24153226613998413,1e-04,0.3722447454929352,0.8105049133300781,0.7864330410957336,0.3602936267852783,0.3780563175678253,0.7113515138626099,0.8455999493598938
4,0.22262023389339447,1e-04,0.3722447156906128,0.8276362419128418,0.806061863899231,0.3258753716945648,0.38154736161231995,0.7012537121772766,0.8986484408378601
5,0.20535379648208618,1e-04,0.3722447156906128,0.8420009613037109,0.8246141672134399,0.3001297116279602,0.3730423152446747,0.7271755337715149,0.887907862663269
6,0.19172954559326172,1e-04,0.37224477529525757,0.8527625799179077,0.8378384113311768,0.23686078190803528,0.37214332818984985,0.87383633852005,0.7253344655036926
7,0.1779482364654541,1e-04,0.3722452223300934,0.8629223704338074,0.8522955775260925,0.23333151638507843,0.37214335799217224,0.8808979392051697,0.7294710874557495
8,0.16650022566318512,1e-04,0.3722446858882904,0.873567521572113,0.8624542951583862,0.22701583802700043,0.37214332818984985,0.8120290040969849,0.8377304077148438
9,0.15591876208782196,1e-04,0.37224480509757996,0.880622148513794,0.8736819624900818,0.23688262701034546,0.37214335799217224,0.7898659110069275,0.8491460084915161
10,0.14188037812709808,1e-04,0.3722447454929352,0.8903966546058655,0.8890655040740967,0.26241859793663025,0.373220294713974,0.7638779282569885,0.8833060264587402
11,0.12606285512447357,1e-04,0.3722447156906128,0.9043367505073547,0.9020287394523621,0.20602260529994965,0.37214332818984985,0.8490741848945618,0.8241310715675354
12,0.11608915030956268,1e-04,0.3722447454929352,0.9129267930984497,0.9108099341392517,0.25045570731163025,0.37214332818984985,0.8783895373344421,0.7446072697639465
13,0.09848805516958237,1e-04,0.37224775552749634,0.9262545704841614,0.9276977777481079,0.2580700218677521,0.37393373250961304,0.799572229385376,0.8941149711608887
14,0.0917675569653511,1e-04,0.37226352095603943,0.9318683743476868,0.9307862520217896,0.2589739263057709,0.37223878502845764,0.887739896774292,0.7538099884986877
15,0.08114177733659744,1e-04,0.37226441502571106,0.9403570890426636,0.9400597810745239,0.3484063744544983,0.3732679784297943,0.732015073299408,0.9277201890945435
16,0.07511816173791885,1e-04,0.3723299503326416,0.9446445107460022,0.9451286196708679,0.22964192926883698,0.3721514642238617,0.8440470695495605,0.8524643778800964
17,0.05247155576944351,1e-05,0.37224483489990234,0.9627702832221985,0.9643328785896301,0.1964845210313797,0.37214338779449463,0.8900309801101685,0.834159255027771
18,0.045976705849170685,1e-05,0.37224477529525757,0.9668612480163574,0.9698451161384583,0.19936363399028778,0.37214332818984985,0.882153332233429,0.8478661179542542
19,0.04402048513293266,1e-05,0.3722473084926605,0.968031644821167,0.9713448286056519,0.20203281939029694,0.37214332818984985,0.8755900859832764,0.857029914855957
20,0.041669752448797226,1e-05,0.37224575877189636,0.9695450067520142,0.9731113314628601,0.20588506758213043,0.37214338779449463,0.871101975440979,0.8621117472648621
21,0.040332138538360596,1e-05,0.3722541034221649,0.9706319570541382,0.9740371108055115,0.20823600888252258,0.37214329838752747,0.8729170560836792,0.8607844114303589
22,0.038828976452350616,1e-05,0.37224477529525757,0.9718243479728699,0.9750307202339172,0.21366450190544128,0.37214332818984985,0.8789542317390442,0.8536155819892883
23,0.03730678930878639,1e-06,0.37224602699279785,0.9725423455238342,0.9766218662261963,0.21486009657382965,0.37214332818984985,0.8737138509750366,0.8595518469810486
24,0.0372089184820652,1e-06,0.3722473978996277,0.973290205001831,0.9759302735328674,0.21553389728069305,0.37214338779449463,0.8740979433059692,0.858954906463623
25,0.03727450966835022,1e-06,0.37224483489990234,0.9728677868843079,0.9762682318687439,0.21626195311546326,0.37214338779449463,0.8725996017456055,0.860882043838501
26,0.03705795109272003,1e-06,0.37224480509757996,0.9732012152671814,0.9763954281806946,0.21659748256206512,0.37214332818984985,0.8712524175643921,0.8620314002037048
27,0.037331145256757736,1e-06,0.3722454607486725,0.9731675982475281,0.976077139377594,0.21671156585216522,0.37214332818984985,0.8715353012084961,0.8618317246437073
